Conductivity,Cu,Cu-327nm_predict,Ni-232nm_predict,Zn-214nm_predict,Pb-406nm_predict
4000,5,8090.647671,1029.802654,21954.95912,10694.00771
4000,10,11826.43502,2005.797136,31326.09962,20830.46141
4000,10,12285.83423,2087.833792,30993.46317,21441.47681
4000,10,11650.8707,1705.92356,31156.52694,21275.91911
4000,10,11307.18061,1856.465633,31659.25547,21402.5142
4000,10,12071.60176,2046.526656,31446.42621,21612.92648
4000,10,11425.15346,2053.782683,29869.15812,19967.42535
4000,10,11267.59017,1991.428921,30505.56122,20407.91143
4000,10,11372.08634,1774.863959,31519.46497,20836.07841
4000,10,11377.29894,1948.521527,32513.27998,21397.82393
4000,10,10912.46286,1940.168275,32053.01821,20126.71684
4000,10,11467.09631,2178.51999,31448.03466,20362.26571
4000,10,11584.8501,2012.526797,32695.61933,20557.24119
4000,10,11561.80385,2023.101572,32113.26358,20187.44175
4000,10,10430.71175,1919.048378,30776.90643,19007.40325
4000,10,11301.04775,2136.528562,31400.75609,18772.65727
4000,10,11463.28181,2179.697851,32037.19554,19874.2658
4000,10,11487.6835,1997.265526,31398.18249,19416.17353
4000,10,11648.45085,2071.793468,31013.83643,19131.56299
4000,10,12066.60248,2540.768797,31665.87751,18815.43406
4000,10,11962.92717,2233.233166,31810.16984,18476.11548
4000,10,11862.55152,2195.713065,31962.35742,18849.76036
4000,10,11487.56628,2158.763991,30881.33778,18866.70362
4000,10,11994.96414,2056.259065,32577.67713,19099.0894
4000,10,12232.14488,2624.091635,31867.78705,18397.45053
4000,10,12507.92235,2437.082678,32010.57617,17975.84847
4000,10,11484.66291,2104.308428,32237.79164,18650.59665
4000,10,11714.74314,2425.089952,31929.36444,17968.13722
4000,10,11746.75409,2188.361216,31423.59081,18177.16404
4000,10,11565.41715,2051.925634,30586.21865,17546.63125
4000,10,12252.71798,2384.279639,31232.56823,17514.50398
4000,20,18651.74315,4473.218372,41971.80162,32911.91499
4000,20,19166.45542,5153.42509,41326.30658,33037.95211
4000,20,19154.86715,4667.407958,40686.94504,31791.47065
4000,20,19615.10591,4748.827206,40778.35647,31885.79357
4000,20,18184.60603,4389.519417,41234.01896,31001.0718
4000,20,20734.44211,5537.881043,42770.20221,32013.10073
4000,20,19004.87846,4938.38237,40479.04555,30577.10634
4000,20,19241.52718,5084.903987,42922.13035,30626.75892
4000,20,20341.65653,5707.282281,40906.70134,30111.73562
4000,20,22543.81039,6167.110088,43151.29755,31517.43228
4000,20,20267.01921,5725.493796,43442.14267,30543.18729
